choice_response.corr,s_adjust.thisIndex,xResolution,SJ_trials_skip.thisIndex,SJ_trials_after.thisN,cont_0.keys,cont_2.keys,s_adjust.thisN,cont_3.keys,participant,SJ_trials_after.thisIndex,cond,__datetime,SJ_trials_after.ran,choice_response.rt,trials.ran,response_distortion.corr,group,cont_5.rt,key_resp.rt,entity2,psychopyVersion,attribute1,choice_response.keys,cont_6.rt,SJ_trials_before.thisN,imagePath2,exit.rt,SJ_trials_before.thisIndex,key_resp.keys,SJ_trials_between.thisTrialN,SJ_trials_after.thisRepN,s_adjust.ran,training.thisIndex,s_adjust.thisRepN,cont_2.rt,SJ_trials_between.thisN,trials.thisN,SJ_trials_before.thisRepN,__participant,corrAns_synchronicity,training.thisRepN,SJ_trials_before.ran,target_loc,trials.thisTrialN,cont_4.rt,sentence_id,response_sync.rt,videoPath,cont_5.keys,SJ_trials_skip.thisTrialN,globalClockTime,cont_3.rt,response_distortion.keys,SJ_trials_between.thisIndex,id,cont_7.rt,block_counter_choice,SJ_trials_skip.thisN,cont_0.rt,expName,response_sync.keys,echo,trials.thisIndex,date,corrAns_distortion,show_attribute,cont_6.keys,entity1,corrAns_choice,SJ_trials_between.ran,SJ_trials_between.thisRepN,SJ_trials_skip.ran,cont_4.keys,trial_counter_choice,verb,trials.thisRepN,researcher,training.thisN,latency,SJ_trials_after.thisTrialN,training.thisTrialN,cont_7.keys,OS,cont_1.keys,frameRate,yResolution,cont_1.rt,imagePos,s_adjust.thisTrialN,response_sync.corr,item,block_counter_sj,attribute2,browser,trial_counter_sj,imagePath,SJ_trials_skip.thisRepN,__session,corrAns,sentence,response_distortion.rt,__experimentName,fill_attribute,trial_counter_training,exit.keys,training.ran,SJ_trials_before.thisTrialN,Name_optional
﻿1,,1920,,,,,,,37,,4,2021-04-12_14h35.00.200,,3.6889999999999645,1,,2,,,frisör,2021.1.2,still,right,,,images/frisör.png,,,,,,,,,,,41,,37,,,,1,41,,,,choice_videos/4_013.mp4,,,612.777,,,,test,,0,,,av_experiment,,400,41,2021-04-12_14h35.00.200,,,,postbote,right,,,,,42,grüßt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,21,,dick,Firefox,,images/postbote.png,,SESSION,,Der stille Postbote grüßt den dicken Frisör.,,av_experiment,böse,46,,,,A.J.
﻿1,,1920,,,,,,,37,,1,2021-04-12_14h35.00.200,,3.6369999999999436,1,,2,,,tourist,2021.1.2,müde,right,,,images/tourist.png,,,,,,,,,,,42,,37,,,,1,42,,,,choice_videos/1_014.mp4,,,621.508,,,,test,,0,,,av_experiment,,0,42,2021-04-12_14h35.00.200,,,,ritter,right,,,,,43,interviewt,0,aron,,10,,,,Win32,,60.02400960382895,1080,,1,,,23,,laut,Firefox,,images/ritter.png,,SESSION,,Der müde Ritter interviewt den lauten Touristen.,,av_experiment,böse,47,,,,A.J.
﻿1,,1920,,,,,,,37,,4,2021-04-12_14h35.00.200,,1.5950000000000273,1,,2,,,polizist,2021.1.2,frech,left,,,images/polizist.png,,,,,,,,,,,43,,37,,,,0,43,,,,choice_videos/4_028.mp4,,,630.1890000000001,,,,test,,0,,,av_experiment,,400,43,2021-04-12_14h35.00.200,,,,punker,left,,,,,44,schlägt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,46,,schwach,Firefox,,images/punker.png,,SESSION,,Der freche Punker schlägt den schwachen Polizisten.,,av_experiment,gut,48,,,,A.J.
﻿1,,1920,,,,,,,37,,0,2021-04-12_14h35.00.200,,2.286999999999921,1,,2,,,gärtner,2021.1.2,nett,left,,,images/gärtner.png,,,,,,,,,,,44,,37,,,,0,44,,,,choice_videos/0_037.mp4,,,636.8199999999999,,,,test,,0,,,av_experiment,,0,44,2021-04-12_14h35.00.200,,,,maler,left,,,,,45,weckt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,62,,müde,Firefox,,images/maler.png,,SESSION,,Der nette Maler weckt den müden Gärtner.,,av_experiment,böse,49,,,,A.J.
﻿1,,1920,,,,,,,37,,1,2021-04-12_14h35.00.200,,1.711999999999989,1,,2,,,koala,2021.1.2,klein,left,,,images/koala.png,,,,,,,,,,,45,,37,,,,0,45,,,,choice_videos/1_012.mp4,,,644.1500000000001,,,,test,,0,,,av_experiment,,0,45,2021-04-12_14h35.00.200,,,,pinguin,left,,,,,46,filmt,0,aron,,10,,,,Win32,,60.02400960382895,1080,,1,,,18,,süß,Firefox,,images/pinguin.png,,SESSION,,Der kleine Pinguin filmt den süßen Koala.,,av_experiment,blind,50,,,,A.J.
﻿1,,1920,,,,,,,37,,3,2021-04-12_14h35.00.200,,1.8140000000000782,1,,2,,,frisör,2021.1.2,still,left,,,images/frisör.png,,,,,,,,,,,46,,37,,,,0,46,,,,choice_videos/3_013.mp4,,,650.8979999999999,,,,test,,0,,,av_experiment,,10,46,2021-04-12_14h35.00.200,,,,postbote,left,,,,,47,grüßt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,20,,dick,Firefox,,images/postbote.png,,SESSION,,Der stille Postbote grüßt den dicken Frisör.,,av_experiment,klein,51,,,,A.J.
﻿1,,1920,,,,,,,37,,4,2021-04-12_14h35.00.200,,2.8519999999999754,1,,2,,,soldat,2021.1.2,blind,right,,,images/soldat.png,,,,,,,,,,,47,,37,,,,1,47,,,,choice_videos/4_002.mp4,,,658.046,,,,test,,0,,,av_experiment,,400,47,2021-04-12_14h35.00.200,,,,jäger,right,,,,,48,erschießt,0,aron,,0,,,,Win32,,60.02400960382895,1080,,1,,,2,,brav,Firefox,,images/jäger.png,,SESSION,,Der blinde Jäger erschießt den braven Soldaten.,,av_experiment,rüde,52,,,,A.J.
﻿1,,1920,,,,,,,37,,2,2021-04-12_14h35.00.200,,3.1200000000000045,1,,2,,5.15300000000002,wikinger,2021.1.2,stark,right,,,images/wikinger.png,,,return,,,,,,,,48,,37,,,,1,48,,,,choice_videos/2_029.mp4,,,665.943,,,,test,,0,,,av_experiment,,0,48,2021-04-12_14h35.00.200,,,,koch,right,,,,,49,schubst,0,aron,,400,,,,Win32,,60.02400960382895,1080,,1,,,49,,blind,Firefox,,images/koch.png,,SESSION,,Der starke Koch schubst den blinden Wikinger.,,av_experiment,süß,53,,,,A.J.
﻿1,,1920,,,,,,,37,,1,2021-04-12_14h35.00.200,,1.3379999999999654,1,,2,,,soldat,2021.1.2,nett,left,,,images/soldat.png,,,,,,,,,,,49,,37,,,,0,49,,,,choice_videos/1_019.mp4,,,679.289,,,,test,,0,,,av_experiment,,0,49,2021-04-12_14h35.00.200,,,,papst,left,,,,,50,küsst,0,aron,,10,,,,Win32,,60.02400960382895,1080,,1,,,28,,gut,Firefox,,images/papst.png,,SESSION,,Der nette Papst küsst den guten Soldaten.,,av_experiment,gut,54,,,,A.J.
﻿1,,1920,,,,,,,37,,2,2021-04-12_14h35.00.200,,3.2930000000000064,1,,2,,,postbote,2021.1.2,böse,right,,,images/postbote.png,,,,,,,,,,,50,,37,,,,1,50,,,,choice_videos/2_006.mp4,,,685.6690000000001,,,,test,,0,,,av_experiment,,0,50,2021-04-12_14h35.00.200,,,,gärtner,right,,,,,51,erwürgt,0,aron,,400,,,,Win32,,60.02400960382895,1080,,1,,,9,,dreist,Firefox,,images/gärtner.png,,SESSION,,Der böse Gärtner erwürgt den dreisten Postboten.,,av_experiment,rüde,55,,,,A.J.
