cont.keys,cont.rt,welcome.started,welcome.stopped,participant,date,expName,psychopyVersion,frameRate,group,
return,0.8587230000121053,,,0,2021_Apr_04_1012,av_w_filler,2021.1.2,60.54155633208142,0,
,,13.340182799991453,None,,,,,,,
