choice_response.corr,s_adjust.thisIndex,xResolution,SJ_trials_skip.thisIndex,SJ_trials_after.thisN,cont_0.keys,cont_2.keys,s_adjust.thisN,cont_3.keys,participant,SJ_trials_after.thisIndex,cond,__datetime,SJ_trials_after.ran,choice_response.rt,trials.ran,response_distortion.corr,group,cont_5.rt,key_resp.rt,entity2,psychopyVersion,attribute1,choice_response.keys,cont_6.rt,SJ_trials_before.thisN,imagePath2,exit.rt,SJ_trials_before.thisIndex,key_resp.keys,SJ_trials_between.thisTrialN,SJ_trials_after.thisRepN,s_adjust.ran,training.thisIndex,s_adjust.thisRepN,cont_2.rt,SJ_trials_between.thisN,trials.thisN,SJ_trials_before.thisRepN,__participant,corrAns_synchronicity,training.thisRepN,SJ_trials_before.ran,target_loc,trials.thisTrialN,cont_4.rt,sentence_id,response_sync.rt,videoPath,cont_5.keys,SJ_trials_skip.thisTrialN,globalClockTime,cont_3.rt,response_distortion.keys,SJ_trials_between.thisIndex,id,cont_7.rt,block_counter_choice,SJ_trials_skip.thisN,cont_0.rt,expName,response_sync.keys,echo,trials.thisIndex,date,corrAns_distortion,show_attribute,cont_6.keys,entity1,corrAns_choice,SJ_trials_between.ran,SJ_trials_between.thisRepN,SJ_trials_skip.ran,cont_4.keys,trial_counter_choice,verb,trials.thisRepN,researcher,training.thisN,latency,SJ_trials_after.thisTrialN,training.thisTrialN,cont_7.keys,OS,cont_1.keys,frameRate,yResolution,cont_1.rt,imagePos,s_adjust.thisTrialN,response_sync.corr,item,block_counter_sj,attribute2,browser,trial_counter_sj,imagePath,SJ_trials_skip.thisRepN,__session,corrAns,sentence,response_distortion.rt,__experimentName,fill_attribute,trial_counter_training,exit.keys,training.ran,SJ_trials_before.thisTrialN,Name_optional
﻿0,,1829,,,,,,,20,,0,2021-04-09_12h35.51.618,,2.1873900000000503,1,,1,,,mann,2021.1.2,dick,right,,,images/nikolaus.png,,,,,,,,,,,145,,20,,,,0,145,,,,choice_videos/0_066.mp4,,,1946.0587699999999,,,,test,,0,,,av_experiment,,0,145,2021-04-09_12h35.51.618,,,,nikolaus,,,,,,146,streichelt,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,116,,alt,Chrome,,images/mann.png,,SESSION,left,Den dicken Nikolaus streichelt der alte Mann.,,av_experiment,blind,150,,,,
﻿0,,1829,,,,,,,20,,4,2021-04-09_12h35.51.618,,4.269914999999855,1,,1,,,gärtner,2021.1.2,dreist,left,,,images/postbote.png,,,,,,,,,,,146,,20,,,,1,146,,,,choice_videos/4_048.mp4,,,1953.3571100000001,,,,test,,0,,,av_experiment,,400,146,2021-04-09_12h35.51.618,,,,postbote,,,,,,147,erwürgt,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,85,,böse,Chrome,,images/gärtner.png,,SESSION,right,Den dreisten Postboten erwürgt der böse Gärtner.,,av_experiment,wach,151,,,,
﻿1,,1829,,,,,,,20,,1,2021-04-09_12h35.51.618,,5.402979999999843,1,,1,,,gärtner,2021.1.2,nett,left,,,images/maler.png,,,,,,,,,,,147,,20,,,,0,147,,,,choice_videos/1_037.mp4,,,1962.83245,,,,test,,0,,,av_experiment,,0,147,2021-04-09_12h35.51.618,,,,maler,,,,,,148,weckt,0,aron,,10,,,,Win32,,60.547348026144505,1029,,,,,62,,müde,Chrome,,images/gärtner.png,,SESSION,left,Der nette Maler weckt den müden Gärtner.,,av_experiment,stolz,152,,,,
﻿0,,1829,,,,,,,20,,3,2021-04-09_12h35.51.618,,12.702569999999469,1,,1,,,wikinger,2021.1.2,stark,up,,,images/koch.png,,,,,,,,,,,148,,20,,,,1,148,,,,choice_videos/3_029.mp4,,,1973.4403699999996,,,,test,,0,,,av_experiment,,10,148,2021-04-09_12h35.51.618,,,,koch,,,,,,149,schubst,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,49,,blind,Chrome,,images/wikinger.png,,SESSION,right,Der starke Koch schubst den blinden Wikinger.,,av_experiment,grau,153,,,,
﻿0,,1829,,,,,,,20,,2,2021-04-09_12h35.51.618,,17.653839999999946,1,,1,,,kapitän,2021.1.2,arm,right,,,images/matrose.png,,,,,,,,,,,149,,20,,,,0,149,,,,choice_videos/2_079.mp4,,,1991.331875,,,,test,,0,,,av_experiment,,0,149,2021-04-09_12h35.51.618,,,,matrose,,,,,,150,weckt,0,aron,,400,,,,Win32,,60.547348026144505,1029,,,,,138,,groß,Chrome,,images/kapitän.png,,SESSION,left,Den armen Matrosen weckt der große Kapitän.,,av_experiment,böse,154,,,,
﻿0,,1829,,,,,,,20,,1,2021-04-09_12h35.51.618,,4.065094999999928,1,,1,,,koch,2021.1.2,schwarz,left,,,images/zauberer.png,,,,,,,,,,,150,,20,,,,1,150,,,,choice_videos/1_049.mp4,,,2014.11565,,,,test,,0,,,av_experiment,,0,150,2021-04-09_12h35.51.618,,,,zauberer,,,,,,151,erwürgt,0,aron,,10,,,,Win32,,60.547348026144505,1029,,,,,87,,stur,Chrome,,images/koch.png,,SESSION,right,Den schwarzen Zauberer erwürgt der sture Koch.,,av_experiment,dick,155,,,,
﻿1,,1829,,,,,,,20,,4,2021-04-09_12h35.51.618,,6.955609999999979,1,,1,,,lehrer,2021.1.2,arm,right,,,images/junge.png,,,,,,,,,,,151,,20,,,,1,151,,,,choice_videos/4_071.mp4,,,2023.2994099999999,,,,test,,0,,,av_experiment,,400,151,2021-04-09_12h35.51.618,,,,junge,,,,,,152,tröstet,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,125,,nett,Chrome,,images/lehrer.png,,SESSION,right,Den armen Jungen tröstet der nette Lehrer.,,av_experiment,klein,156,,,,
﻿0,,1829,,,,,,,20,,0,2021-04-09_12h35.51.618,,4.087845000000016,1,,1,,,polizist,2021.1.2,böse,right,,,images/jäger.png,,,,,,,,,,,152,,20,,,,0,152,,,,choice_videos/0_044.mp4,,,2035.3492550000003,,,,test,,0,,,av_experiment,,0,152,2021-04-09_12h35.51.618,,,,jäger,,,,,,153,erschießt,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,76,,brav,Chrome,,images/polizist.png,,SESSION,left,Den bösen Jäger erschießt der brave Polizist.,,av_experiment,fies,157,,,,
﻿0,,1829,,,,,,,20,,0,2021-04-09_12h35.51.618,,3.555284999999458,1,,1,,,esel,2021.1.2,alt,left,,,images/löwe.png,,,,,,,,,,,153,,20,,,,1,153,,,,choice_videos/0_062.mp4,,,2044.5610749999998,,,,test,,0,,,av_experiment,,0,153,2021-04-09_12h35.51.618,,,,löwe,,,,,,154,malt,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,111,,stur,Chrome,,images/esel.png,,SESSION,right,Den alten Löwen malt der sture Esel.,,av_experiment,schnell,158,,,,
﻿0,,1829,,,,,,,20,,4,2021-04-09_12h35.51.618,,4.425000000000182,1,,1,,,koch,2021.1.2,faul,right,,,images/bäcker.png,,,,,,,,,,,154,,20,,,,0,154,,,,choice_videos/4_046.mp4,,,2053.2023099999997,,,,test,,0,,,av_experiment,,400,154,2021-04-09_12h35.51.618,,,,bäcker,,,,,,155,ersticht,0,aron,,0,,,,Win32,,60.547348026144505,1029,,,,,80,,böse,Chrome,,images/koch.png,,SESSION,left,Den faulen Bäcker ersticht der böse Koch.,,av_experiment,böse,159,,,,
