trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,cont.keys,cont.rt,welcome.started,welcome.stopped,loading_text.started,loading_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,date,expName,psychopyVersion,frameRate,group,
,,,,return,0.7455387000081828,,,,,,,,,0,2021_Apr_04_1014,av_w_filler,2021.1.2,59.97897137136608,0,
,,,,,,12.731528200005414,None,13.507082100011758,None,return,2.0653634000045713,13.507082100011758,None,,,,,,,
